"WAR_YEAR","COUNTRY_GAINING","COUNTRY_LOSING","POP","AREA","CONSEQUENCE"
1963,"Malaysia","United Kingdom",478000,76115,"unification"
1963,"Malaysia","United Kingdom",778000,124967,"unification"
1963,"Indonesia","Netherlands",751000,412781,"cession"
1964,"Malta","United Kingdom",324000,316,"unknown process"
1964,"Zambia","United Kingdom",3600000,751936,"unknown process"
1964,"Malawi","United Kingdom",3845000,119311,"unknown process"
1965,"Gambia","United Kingdom",330000,10368,"unknown process"
1965,"Jordan","Saudi Arabia",750,750,"cession"
1965,"Saudi Arabia","Jordan",750,750,"cession"
1965,"Maldives","United Kingdom",98000,298,"unknown process"
1965,"Singapore","Malaysia",1865000,583,"secession"
1966,"Barbados","United Kingdom",238000,430,"unknown process"
1966,"Guyana","United Kingdom",714223,210000,"unknown process"
1966,"Lesotho","United Kingdom",1080857,30340,"unknown process"
1966,"Botswana","United Kingdom",667000,575000,"unknown process"
1967,"Israel","Egypt",418800,53242,"conquest"
1967,"Israel","Syria",60000,1710,"conquest"
1967,"Israel","Jordan",674500,5878,"conquest"
1967,"Oman","United Kingdom",85,73,"cession"
1968,"Equatorial Guinea","Spain",290000,28051,"unknown process"
1968,"Eswatini","United Kingdom",442195,17400,"unknown process"
1968,"Mauritius","United Kingdom",830700,1865,"unknown process"
1968,"Japan","United States",,100,"cession"
1968,"India","Pakistan",,7000,"cession"
1968,"Pakistan","India",187200,780,"cession"
1968,"Nauru","Australia",6603,22,"unknown process"
1969,"Morocco","Spain",51517,1505,"cession"
1969,"Saudi Arabia","Kuwait",2080,2850,"cession"
1969,"Kuwait","Saudi Arabia",2080,2850,"cession"
1970,"Fiji","United Kingdom",524457,18272,"unknown process"
1970,"Tonga","United Kingdom",87406,700,"unknown process"
1971,"Nicaragua","United States",2116,6,"cession"
1971,"Iran","United Arab Emirates",100,1,"conquest"
1971,"Iran","United Arab Emirates",100,1,"annexation"
1971,"Bahrain","United Kingdom",216815,723,"unknown process"
1971,"Qatar","United Kingdom",160000,11000,"unknown process"
1971,"United Arab Emirates","United Arab Emirates",154656,90410,"unification"
1971,"India","Pakistan",5000000,13361,"conquest"
1971,"Pakistan","India",75600,315,"conquest"
1971,"Bangladesh","Pakistan",71300000,144020,"secession"
1972,"Honduras","United States",,3,"cession"
1972,"United Arab Emirates","United Arab Emirates",24482,1690,"unification"
1972,"Japan","United States",934176,848,"cession"
1972,"India","Pakistan",,179,"cession"
1972,"Pakistan","India",3506160,14609,"cession"
1973,"Bahamas","United Kingdom",168812,13864,"unknown process"
1973,"Libya","Chad",78000,78000,"conquest"
1973,"Israel","Syria",15000,780,"conquest"
1974,"Grenada","United Kingdom",107779,344,"unknown process"
1974,"Guinea-Bissau","Portugal",487448,36125,"unknown process"
1974,"Turkey","Cyprus",250000,3640,"conquest"
1974,"Egypt","Israel",1000,1000,"cession"
1974,"Sri Lanka","India",100,1,"cession"
1975,"Suriname","Netherlands",414000,163265,"unknown process"
1975,"Cape Verde","Portugal",272071,4033,"unknown process"
1975,"São Tomé e Príncipe","Portugal",76430,964,"unknown process"
1975,"Angola","Portugal",5673046,1246700,"unknown process"
1975,"Mozambique","Portugal",8233834,784961,"unknown process"
1975,"Comoros","France",252000,1862,"unknown process"
1975,"Iraq","Saudi Arabia",,3500,"cession"
1975,"Egypt","Israel",2000,20000,"cession"
1975,"Saudi Arabia","Iraq",2000,3500,"cession"
1975,"Papua New Guinea","Australia",2600000,462840,"unknown process"
1976,"France","Comoros",38000,374,"secession"
1976,"Mauritania","Spain",,88667,"cession"
1976,"Seychelles","United Kingdom",59000,404,"unknown process"
1976,"Seychelles","United Kingdom",,27,"cession"
